option_name	size_kb	action
woocommerce_ppcp-is_pay_later_settings_migrated	0.00	TIER_A_DELETE
jetpack_sync_settings_custom_queue_table_enabled	0.00	TIER_A_DELETE
woocommerce_ppcp-is_smart_button_settings_migrated	0.00	TIER_A_DELETE
option_name	size_kb	action
litespeed.cloud._summary	2.79	TIER_B_TOGGLE
litespeed.conf.guest_ips	1.03	TIER_B_TOGGLE
litespeed.conf.media-lqip_exc	0.33	TIER_B_TOGGLE
litespeed.conf.object-global_groups	0.21	TIER_B_TOGGLE
litespeed.conf.cdn-mapping	0.20	TIER_B_TOGGLE
litespeed.conf.media-placeholder_resp_svg	0.18	TIER_B_TOGGLE
litespeed.conf.img_optm-webp_attr	0.17	TIER_B_TOGGLE
litespeed.conf.purge-hook_all	0.15	TIER_B_TOGGLE
litespeed.img_optm._summary	0.12	TIER_B_TOGGLE
litespeed.conf.optm-localize_domains	0.12	TIER_B_TOGGLE
litespeed.admin_display.messages	0.11	TIER_B_TOGGLE
litespeed.conf.guest_uas	0.08	TIER_B_TOGGLE
litespeed.conf.cache-vary_group	0.08	TIER_B_TOGGLE
litespeed.vpi._summary	0.08	TIER_B_TOGGLE
litespeed.conf.cache-mobile_rules	0.08	TIER_B_TOGGLE
litespeed.health._summary	0.07	TIER_B_TOGGLE
litespeed.ucss._summary	0.07	TIER_B_TOGGLE
litespeed.placeholder._summary	0.06	TIER_B_TOGGLE
litespeed.conf.optm-js_exc	0.06	TIER_B_TOGGLE
litespeed.conf.cdn-attr	0.05	TIER_B_TOGGLE
litespeed.conf.optm-js_defer_exc	0.05	TIER_B_TOGGLE
litespeed.cdn\\quic._summary	0.05	TIER_B_TOGGLE
litespeed.conf.object-non_persistent_groups	0.04	TIER_B_TOGGLE
litespeed.gui._summary	0.04	TIER_B_TOGGLE
litespeed.conf.esi-nonce	0.03	TIER_B_TOGGLE
litespeed.conf.hash	0.03	TIER_B_TOGGLE
litespeed.conf.api_key	0.03	TIER_B_TOGGLE
litespeed.conf.cache-drop_qs	0.03	TIER_B_TOGGLE
litespeed.conf.optm-css_exc	0.03	TIER_B_TOGGLE
litespeed.conf.cdn-ori_dir	0.03	TIER_B_TOGGLE
litespeed.conf.cdn-ori	0.03	TIER_B_TOGGLE
litespeed.conf.cache-ttl_status	0.02	TIER_B_TOGGLE
litespeed.conf.media-lazy_cls_exc	0.02	TIER_B_TOGGLE
litespeed.conf.optm-exc_roles	0.02	TIER_B_TOGGLE
litespeed.conf.cache-exc_roles	0.02	TIER_B_TOGGLE
litespeed.conf.debug-ips	0.01	TIER_B_TOGGLE
litespeed.optimize.timestamp_purge_css	0.01	TIER_B_TOGGLE
litespeed.conf.optm-ccss_sep_posttype	0.01	TIER_B_TOGGLE
litespeed.conf.__activation	0.01	TIER_B_TOGGLE
litespeed.conf.cache-ttl_browser	0.01	TIER_B_TOGGLE
litespeed.conf.media-placeholder_resp_color	0.01	TIER_B_TOGGLE
litespeed.conf.cache-ttl_pub	0.01	TIER_B_TOGGLE
litespeed.conf.cache-ttl_feed	0.01	TIER_B_TOGGLE
litespeed.conf.cache-ttl_rest	0.01	TIER_B_TOGGLE
litespeed.conf.cache-ttl_frontpage	0.01	TIER_B_TOGGLE
litespeed.conf.crawler-crawl_interval	0.01	TIER_B_TOGGLE
litespeed.conf.discuss-avatar_cache_ttl	0.01	TIER_B_TOGGLE
litespeed.conf.object-port	0.00	TIER_B_TOGGLE
litespeed.conf.cache-ttl_priv	0.00	TIER_B_TOGGLE
litespeed.conf.object-host	0.00	TIER_B_TOGGLE
litespeed.conf.object-life	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-usleep	0.00	TIER_B_TOGGLE
litespeed.conf.media-lqip_min_h	0.00	TIER_B_TOGGLE
litespeed.conf.media-lqip_min_w	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-map_timeout	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-run_duration	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-run_interval	0.00	TIER_B_TOGGLE
litespeed.gui.dismiss	0.00	TIER_B_TOGGLE
litespeed.purge.queue	0.00	TIER_B_TOGGLE
litespeed.conf.cdn-exc	0.00	TIER_B_TOGGLE
litespeed.css._summary	0.00	TIER_B_TOGGLE
litespeed.purge.queue2	0.00	TIER_B_TOGGLE
litespeed.conf.optm-exc	0.00	TIER_B_TOGGLE
litespeed.conf.cache-exc	0.00	TIER_B_TOGGLE
litespeed.conf.debug-exc	0.00	TIER_B_TOGGLE
litespeed.conf.debug-inc	0.00	TIER_B_TOGGLE
litespeed.data.upgrading	0.00	TIER_B_TOGGLE
litespeed.conf.cache-exc_qs	0.00	TIER_B_TOGGLE
litespeed.conf.cache-exc_cat	0.00	TIER_B_TOGGLE
litespeed.conf.cache-exc_tag	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-roles	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ucss_exc	0.00	TIER_B_TOGGLE
litespeed.conf.cache-priv_uri	0.00	TIER_B_TOGGLE
litespeed.conf.media-lazy_exc	0.00	TIER_B_TOGGLE
litespeed.conf.optm-gm_js_exc	0.00	TIER_B_TOGGLE
litespeed.conf.optm-html_lazy	0.00	TIER_B_TOGGLE
litespeed.crawler.bypass_list	0.00	TIER_B_TOGGLE
litespeed.conf.cache-force_uri	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-cookies	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-timeout	0.00	TIER_B_TOGGLE
litespeed.conf.purge-timed_urls	0.00	TIER_B_TOGGLE
litespeed.gui.lscwp_whm_install	0.00	TIER_B_TOGGLE
litespeed.conf.cache-exc_cookies	0.00	TIER_B_TOGGLE
litespeed.conf.debug-exc_strings	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ccss_sep_uri	0.00	TIER_B_TOGGLE
litespeed.conf.optm-dns_prefetch	0.00	TIER_B_TOGGLE
litespeed.conf.optm-js_delay_inc	0.00	TIER_B_TOGGLE
litespeed.conf.media-lazy_uri_exc	0.00	TIER_B_TOGGLE
litespeed.conf.cache-force_pub_uri	0.00	TIER_B_TOGGLE
litespeed.conf.optm-dns_preconnect	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ucss_whitelist	0.00	TIER_B_TOGGLE
litespeed.conf.cache-exc_useragents	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-jpg_quality	0.00	TIER_B_TOGGLE
litespeed.conf.misc-heartbeat_back_ttl	0.00	TIER_B_TOGGLE
litespeed.conf.misc-heartbeat_front_ttl	0.00	TIER_B_TOGGLE
litespeed.conf.media-iframe_lazy_cls_exc	0.00	TIER_B_TOGGLE
litespeed.conf.media-lazy_parent_cls_exc	0.00	TIER_B_TOGGLE
litespeed.conf.misc-heartbeat_editor_ttl	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ucss_file_exc_inline	0.00	TIER_B_TOGGLE
litespeed.conf.media-iframe_lazy_parent_cls_exc	0.00	TIER_B_TOGGLE
litespeed.conf.news	0.00	TIER_B_TOGGLE
litespeed.conf.cache	0.00	TIER_B_TOGGLE
litespeed.conf.guest	0.00	TIER_B_TOGGLE
litespeed.conf.cdn-quic	0.00	TIER_B_TOGGLE
litespeed.conf.cache-priv	0.00	TIER_B_TOGGLE
litespeed.conf.cache-rest	0.00	TIER_B_TOGGLE
litespeed.conf.guest_optm	0.00	TIER_B_TOGGLE
litespeed.conf.optm-qs_rm	0.00	TIER_B_TOGGLE
litespeed.conf.cache-mobile	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-ori	0.00	TIER_B_TOGGLE
litespeed.conf.object-admin	0.00	TIER_B_TOGGLE
litespeed.conf.object-db_id	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_a	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_f	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_h	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_m	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_p	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_t	0.00	TIER_B_TOGGLE
litespeed.conf.cache-browser	0.00	TIER_B_TOGGLE
litespeed.conf.cache-favicon	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-auto	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-cron	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-webp	0.00	TIER_B_TOGGLE
litespeed.conf.optm-emoji_rm	0.00	TIER_B_TOGGLE
litespeed.conf.optm-html_min	0.00	TIER_B_TOGGLE
litespeed.conf.optm-js_defer	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_pt	0.00	TIER_B_TOGGLE
litespeed.conf.purge-upgrade	0.00	TIER_B_TOGGLE
litespeed.img_optm.need_pull	0.00	TIER_B_TOGGLE
litespeed.conf.debug-filesize	0.00	TIER_B_TOGGLE
litespeed.conf.optm-css_async	0.00	TIER_B_TOGGLE
litespeed.conf.cache-commenter	0.00	TIER_B_TOGGLE
litespeed.conf.cache-resources	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-threads	0.00	TIER_B_TOGGLE
litespeed.conf.media-lqip_qual	0.00	TIER_B_TOGGLE
litespeed.conf.optm-guest_only	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_pwrp	0.00	TIER_B_TOGGLE
litespeed.conf.cache-page_login	0.00	TIER_B_TOGGLE
litespeed.conf.esi-cache_admbar	0.00	TIER_B_TOGGLE
litespeed.conf.optm-noscript_rm	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ucss_inline	0.00	TIER_B_TOGGLE
litespeed.conf.object-persistent	0.00	TIER_B_TOGGLE
litespeed.conf.object-transients	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-load_limit	0.00	TIER_B_TOGGLE
litespeed.conf.esi-cache_commform	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-drop_domain	0.00	TIER_B_TOGGLE
litespeed.conf.discuss-avatar_cron	0.00	TIER_B_TOGGLE
litespeed.conf.discuss-avatar_cache	0.00	TIER_B_TOGGLE
litespeed.conf.db_optm-revisions_age	0.00	TIER_B_TOGGLE
litespeed.conf.db_optm-revisions_max	0.00	TIER_B_TOGGLE
litespeed.conf.optm-css_font_display	0.00	TIER_B_TOGGLE
litespeed.conf.optm-dns_prefetch_ctrl	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-webp_replace_srcset	0.00	TIER_B_TOGGLE
litespeed.conf.media-placeholder_resp_async	0.00	TIER_B_TOGGLE
litespeed.conf.cdn	0.00	TIER_B_TOGGLE
litespeed.conf.esi	0.00	TIER_B_TOGGLE
litespeed.conf.debug	0.00	TIER_B_TOGGLE
litespeed.conf.object	0.00	TIER_B_TOGGLE
litespeed.conf.crawler	0.00	TIER_B_TOGGLE
litespeed.conf.qc-token	0.00	TIER_B_TOGGLE
litespeed.conf.media-vpi	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ucss	0.00	TIER_B_TOGGLE
litespeed.conf.server_ip	0.00	TIER_B_TOGGLE
litespeed.conf.media-lazy	0.00	TIER_B_TOGGLE
litespeed.conf.media-lqip	0.00	TIER_B_TOGGLE
litespeed.conf.debug-level	0.00	TIER_B_TOGGLE
litespeed.conf.object-kind	0.00	TIER_B_TOGGLE
litespeed.conf.object-pswd	0.00	TIER_B_TOGGLE
litespeed.conf.object-user	0.00	TIER_B_TOGGLE
litespeed.conf.optm-js_min	0.00	TIER_B_TOGGLE
litespeed.conf.purge-stale	0.00	TIER_B_TOGGLE
litespeed.conf.auto_upgrade	0.00	TIER_B_TOGGLE
litespeed.conf.debug-cookie	0.00	TIER_B_TOGGLE
litespeed.conf.optm-css_min	0.00	TIER_B_TOGGLE
litespeed.conf.optm-js_comb	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_d	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_y	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-exif	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ccss_con	0.00	TIER_B_TOGGLE
litespeed.conf.optm-css_comb	0.00	TIER_B_TOGGLE
litespeed.conf.optm-localize	0.00	TIER_B_TOGGLE
litespeed.conf.cdn-cloudflare	0.00	TIER_B_TOGGLE
litespeed.conf.media-vpi_cron	0.00	TIER_B_TOGGLE
litespeed.conf.purge-post_all	0.00	TIER_B_TOGGLE
litespeed.conf.qc-nameservers	0.00	TIER_B_TOGGLE
litespeed.conf.crawler-sitemap	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ggfonts_rm	0.00	TIER_B_TOGGLE
litespeed.conf.debug-collaps_qs	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-rm_bkup	0.00	TIER_B_TOGGLE
litespeed.conf.debug-disable_all	0.00	TIER_B_TOGGLE
litespeed.conf.img_optm-lossless	0.00	TIER_B_TOGGLE
litespeed.conf.media-iframe_lazy	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ccss_per_url	0.00	TIER_B_TOGGLE
litespeed.conf.cache-login_cookie	0.00	TIER_B_TOGGLE
litespeed.conf.cdn-cloudflare_key	0.00	TIER_B_TOGGLE
litespeed.conf.optm-ggfonts_async	0.00	TIER_B_TOGGLE
litespeed.conf.util-instant_click	0.00	TIER_B_TOGGLE
litespeed.conf.util-no_https_vary	0.00	TIER_B_TOGGLE
litespeed.conf.cdn-cloudflare_name	0.00	TIER_B_TOGGLE
litespeed.conf.cdn-cloudflare_zone	0.00	TIER_B_TOGGLE
litespeed.conf.misc-heartbeat_back	0.00	TIER_B_TOGGLE
litespeed.conf.cdn-cloudflare_email	0.00	TIER_B_TOGGLE
litespeed.conf.misc-heartbeat_front	0.00	TIER_B_TOGGLE
litespeed.conf.optm-js_comb_ext_inl	0.00	TIER_B_TOGGLE
litespeed.conf.misc-heartbeat_editor	0.00	TIER_B_TOGGLE
litespeed.conf.optm-css_async_inline	0.00	TIER_B_TOGGLE
litespeed.conf.optm-css_comb_ext_inl	0.00	TIER_B_TOGGLE
litespeed.conf.purge-timed_urls_time	0.00	TIER_B_TOGGLE
litespeed.conf.media-lazy_placeholder	0.00	TIER_B_TOGGLE
litespeed.conf.media-placeholder_resp	0.00	TIER_B_TOGGLE
litespeed.conf.media-add_missing_sizes	0.00	TIER_B_TOGGLE

